pubmed - python
year,count
2020,14
2019,709
2018,532
2017,355
2016,309
2015,280
2014,245
2013,182
2012,149
2011,130
2010,106
2009,91
2008,66
2007,54
2006,36
2005,37
2004,31
2003,33
2002,39
2001,28
2000,19
1999,20
1998,14
1997,15
1996,12
1995,9
1994,4
1993,7
1992,7
1991,5
1990,5
1989,2
1988,3
1987,3
1986,4
1985,5
1984,3
1983,8
1982,4
1981,3
1980,6
1979,8
1978,6
1977,7
1976,4
1975,7
1974,4
1973,1
1972,3
1968,2
1967,2
1966,3
1964,2
1962,1
1961,1
1960,1
1959,3
1958,2
1957,1
1955,1
1954,2
1953,2
1951,3
1949,2
1932,1

